DATE,HOUR,TAVG,PREC,RHAVG,RAD,W_INT_AVG
1999-03-01,1,1.4,0,75.7,0.0,0.8
1999-03-01,2,0.2,0,84,0.0,0.7
1999-03-01,3,-1.8,0,94.2,0.0,0.6
1999-03-01,4,-2.8,0,96,0.1,0.5
1999-03-01,5,-2.6,0,94.7,0.0,0.2
1999-03-01,6,-0.5,0,95.5,0.0,3.2
1999-03-01,7,-0.1,0,96,3.9,4.4
1999-03-01,8,-0.2,0,91.7,65.2,4.6
1999-03-01,9,0.5,0,81,235.7,6.3
1999-03-01,10,1.1,1,79.9,247.1,4.9
1999-03-01,11,2.3,0,68,419.5,5.8
1999-03-01,12,3,0,60,406.2,6.8
1999-03-01,13,3.4,0,59.1,609.3,7.0
1999-03-01,14,3.8,0,56.9,356.4,5.4
1999-03-01,15,3.8,0,57.1,153.4,4.3
1999-03-01,16,3.9,0,58.6,246.0,5.0
1999-03-01,17,3.9,0,57.6,79.6,3.9
1999-03-01,18,3.2,0,63.3,15.8,0.8
1999-03-01,19,1.6,0,74.4,0.0,0.2
1999-03-01,20,0.3,0,83.3,0.0,0.3
1999-03-01,21,-0.7,0,88.1,0.0,0.3
1999-03-01,22,-1.5,0,91.2,0.0,0.3
1999-03-01,23,-1.5,0,90.5,0.0,0.4
1999-03-02,0,-1.7,0,90.8,0.1,0.2
1999-03-02,1,-2.5,0,92.8,0.0,0.3
1999-03-02,2,-3.3,0,95,0.1,0.4
1999-03-02,3,-3.5,0,93.9,0.1,0.3
1999-03-02,4,-4,0,95,0.0,0.2
1999-03-02,5,-4.2,0,94.6,0.0,0.3
1999-03-02,6,-4.4,0,94.7,0.0,0.2
1999-03-02,7,-4.1,0,92.7,19.1,1.1
1999-03-02,8,-2.3,0,84.3,129.2,1.5
1999-03-02,9,0.1,0,72.6,248.7,2.3
1999-03-02,10,1.3,0,66.9,305.1,2.1
1999-03-02,11,1.9,0,58.6,333.1,3.3
1999-03-02,12,2.4,0,57.3,268.3,2.6
1999-03-02,13,3.2,0,50.9,247.6,3.2
1999-03-02,14,3.9,0,45.5,244.7,3.6
1999-03-02,15,4.3,0,43.8,173.7,3.7
1999-03-02,16,4.5,0,45.4,130.0,3.3
1999-03-02,17,4.2,0,48.3,54.0,3.3
1999-03-02,18,3.9,0,49.3,5.2,3.1
1999-03-02,19,3.3,0,53.2,0.0,2.8
1999-03-02,20,3.1,0,53.9,0.0,2.3
1999-03-02,21,3.1,0,54.5,0.0,1.6
1999-03-02,22,3.3,0,54.5,0.0,2.4
1999-03-02,23,4.1,0,51.3,0.0,2.6
1999-03-03,0,4.6,0,49,0.0,1.9
1999-03-03,1,3.5,1,63.3,0.0,6.2
1999-03-03,2,0.8,0,89.6,0.0,5.8
1999-03-03,3,-0.1,0,95.6,0.0,2.5
1999-03-03,4,0,0,95.9,0.0,1.1
