var,type,color
TAVG,line,red
PREC,bar,blue
RHAVG,bar,cyan
RAD,line,magenta
NET_RAD,line,darkMagenta
W_VEC_INT,line,darkGreen
W_VEC_DIR,bar,darkBlue
W_SCAL_INT,line,darkGreen
W_VEC_X,line,darkGreen
W_VEC_Y,line,darkGreen
ET0,line,green
LEAFW,bar,darkCyan
TDAVG,line,cyan
THOM,bar,darkMagenta
DIRECT_RAD,bar,magenta
DIFFUSE_RAD,bar,magenta
REFLEC_RAD,bar,magenta
ATM_TRANSMIT,line,darkGray
ATM_PRESSURE,line,darkYellow
ACTUAL_EVAPO,bar,green
DAILY_TMIN,line,cyan
DAILY_TMAX,line,red
DAILY_TAVG,line,darkGreen
DAILY_PREC,bar,blue
DAILY_RHMIN,bar,yellow
DAILY_RHMAX,bar,blue
DAILY_RHAVG,bar,green
DAILY_RAD,line,magenta
DAILY_NET_RAD,line,darkMagenta
DAILY_W_VEC_INT_AVG,line,green
DAILY_W_VEC_DIR_PREV,bar,darkBlue
DAILY_W_VEC_INT_MAX,line,darkGreen
DAILY_W_SCAL_INT_AVG,line,green
DAILY_W_SCAL_INT_MAX,line,darkGreen
DAILY_ET0_HS,line,darkGreen
DAILY_ET0_PM,line,green
DAILY_LEAFW,bar,darkCyan
DAILY_TEMPRANGE,bar,darkRed
DAILY_THOMMAX,bar,magenta
DAILY_THOMAVG,bar,darkMagenta
DAILY_THOM_HABOVE,bar,magenta
DAILY_THOM_DAYTIME,bar,magenta
DAILY_THOM_NIGHTTIME,bar,darkMagenta
DAILY_DIRECT_RAD,bar,magenta
DAILY_DIFFUSE_RAD,bar,magenta
DAILY_REFLEC_RAD,bar,magenta
DAILY_BIC,line,darkRed
DAILY_WATER_TABLE_DEPTH,line,darkCyan
